wtp_new,wtp_second,wtp_bio,wtp_recycle,wtp_workers,female,age,people_living,education,income,region,i_clothes_fashion,i_clothes_versatile,i_clothes_need,i_clothes_size,i_clothes_fit,i_clothes_easy,i_clothes_quality,i_clothes_cheap,i_clothes_value,i_clothes_know,i_clothes_prestigious,i_clothes_environment,second_stuff_dummy,bio_item_dummy,second_clothes_dummy,bio_clothes_dummy,second_precovid,second_covid,second_postcovid,bio_postcovid,bioc_covid,bio_precovid,no_second_app,no_second_quality,no_second_shop,no_second_environment,no_second_clean,no_second_size,no_second_fashion,bio_eco,bio_vintage,bio_quality,bio_pollution,bio_peer,no_bio_app,no_bio_expensive,no_bio_shop,no_bio_environment,no_bio_rare,no_bio_style,no_bio_fashion,no_bio_quality,poll_chemical_synt,poll_chemical_nat,poll_dye,poll_water,poll_biodegradable,pro_recycle,pro_label,pro_brown_firms,pro_packaging,pro_pub_transport,pro_pack_reuse,pro_donation,pro_reuse,pro_second_clothes,pro_label_clothes,pro_temp_clothes,pro_quality_clothes,pro_bio1_clothes,pro_bio2_clothes,wtp_cert_quality,wtp_cert_bio,wtp_cert_recycle,wtp_cert_workers,wtp_cert_workers_env,sustainable_sector,sustainable_phases,second_eco,second_vintage,second_quality,second_endlife,second_pollution,second_peer,sustainable_fashion_item1,sustainable_fashion_item2,sustainable_fashion_item3,sustainable_fashion_item4
15,0,15,0,15,Male,52,2,Middle school,0-15000€,Lombardia,Slightly,Moderately,Moderately,Very important,Very important,Moderately,Very important,Moderately,Very important,Not at all,Not at all,Moderately,No,No,No,Yes,,,,Sometimes,Never,Never,Not at all,Important,Slightly,Not at all,Very important,Slightly,Slightly,Moderately,Not at all,Important,Moderately,Not at all,,,,,,,,,Undecided,Disagree,Disagree,Undecided,Undecided,Always,Never,Rarely,Sometimes,Never,Rarely,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Rarely,Nothing,Nothing,Nothing,Nothing,Nothing,Environment,All items,,,,,,,2,4,4,5
10,5,15,10,15,Male,29,1,Postsecondary education,15000€-30000€,Piemonte,Not at all,Slightly,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Not at all,Not at all,Important,Yes,Yes,Yes,Yes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Sometimes,,,,,,,,Not at all,Not at all,Not at all,Slightly,Not at all,,,,,,,,,Agree,Disagree,Agree,Strongly agree,Undecided,Always,Often,Often,Sometimes,Never,Sometimes,Never,Often,Sometimes,Often,Always,Always,Sometimes,Sometimes,Nothing,Little amount,Nothing,Little amount,Little amount,Environment,Production,Moderately,Important,Moderately,Important,Moderately,Not at all,9,9,9,9
10,2,10,6,10,Male,20,5,Secondary school,30000€-45000€,Toscana,Important,Very important,Moderately,Very important,Very important,Moderately,Moderately,Very important,Very important,Moderately,Moderately,Slightly,No,Yes,No,Yes,,,,Sometimes,Rarely,Sometimes,Slightly,Slightly,Very important,Important,Very important,Slightly,Slightly,Important,Slightly,Very important,Important,Not at all,,,,,,,,,Undecided,Agree,Agree,Strongly agree,Strongly agree,Always,Often,Rarely,Rarely,Never,Always,Sometimes,Always,Never,Sometimes,Always,Always,Sometimes,Sometimes,Nothing,Little amount,Little amount,Little amount,Pay enough,All items,Production,,,,,,,8,9,5,8
8,3,8,8,8,Female,46,3,Postsecondary education,60000€-75000€,Lazio,Moderately,Important,Important,Very important,Very important,Very important,Important,Important,Important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Often,Never,Often,Often,Never,Often,,,,,,,,Moderately,Moderately,Moderately,Moderately,Not at all,,,,,,,,,Agree,Disagree,Agree,Agree,Undecided,Always,Sometimes,Sometimes,Sometimes,Often,Often,Never,Often,Often,Sometimes,Always,Sometimes,Often,Sometimes,Nothing,Nothing,Nothing,Nothing,Nothing,All items,All items,Moderately,Moderately,Moderately,Moderately,Slightly,Not at all,5,1,4,5
10,5,15,15,15,Female,20,4,Secondary school,15000€-30000€,Toscana,Slightly,Moderately,Moderately,Important,Moderately,Slightly,Slightly,Very important,Very important,Not at all,Not at all,Important,Yes,No,Yes,No,Often,Never,Often,,,,,,,,,,,,,,,,Moderately,Important,Slightly,Slightly,Important,Not at all,Not at all,Not at all,Agree,Undecided,Agree,Strongly agree,Agree,Often,Sometimes,Often,Often,Sometimes,Often,Rarely,Always,Often,Sometimes,Never,Often,Rarely,Rarely,Little amount,Pay enough,Pay enough,Pay enough,Pay enough,Environment,All items,Very important,Slightly,Important,Important,Important,Not at all,10,8,8,9
5,3,5,6,7,Female,21,2,Secondary school,0-15000€,Friuli Venezia Giulia,Moderately,Moderately,Moderately,Important,Important,Important,Important,Important,Important,Moderately,Moderately,Important,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Important,Important,Important,Important,Slightly,,,,,,,,,Agree,Disagree,Agree,Agree,Agree,Always,Always,Never,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Often,Large amount,Large amount,Large amount,Large amount,Large amount,Environment,Production,Important,Important,Important,Important,Important,Slightly,9,10,8,10
4,1,6,3,6,Male,46,3,Secondary school,Preferisco non rispondere,Puglia,Slightly,Important,Very important,Very important,Important,Moderately,Moderately,Important,Very important,Moderately,Slightly,Important,Yes,Yes,Yes,Yes,Rarely,Never,Never,Rarely,Never,Sometimes,,,,,,,,Slightly,Slightly,Moderately,Slightly,Not at all,,,,,,,,,Agree,Undecided,Agree,Undecided,Agree,Always,Often,Sometimes,Sometimes,Rarely,Sometimes,Often,Often,Sometimes,Often,Rarely,Often,Often,Sometimes,Pay enough,Pay enough,Little amount,Pay enough,Pay enough,Environment,All items,Moderately,Moderately,Important,Moderately,Moderately,Not at all,7,8,9,9
7,2,7,2,7,Female,27,3,Postsecondary education,45000€-60000€,Lombardia,Slightly,Important,Important,Important,Very important,Important,Important,Important,Important,Moderately,Moderately,Slightly,No,Yes,No,Yes,,,,Rarely,Never,Rarely,Moderately,Important,Slightly,Moderately,Very important,Important,Slightly,Slightly,Not at all,Important,Slightly,Not at all,,,,,,,,,Disagree,Undecided,Disagree,Disagree,Disagree,Often,Never,Never,Rarely,Sometimes,Rarely,Never,Sometimes,Never,Never,Never,Sometimes,Rarely,Rarely,Nothing,Nothing,Nothing,Nothing,Nothing,Environment,All items,,,,,,,8,8,6,6
4,1,7,3,5,Male,29,3,Postsecondary education,30000€-45000€,Emilia Romagna,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Important,Very important,Important,Moderately,Moderately,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Rarely,Sometimes,Moderately,Slightly,Moderately,Not at all,Slightly,Moderately,Moderately,Moderately,Moderately,Important,Slightly,Moderately,,,,,,,,,Agree,Undecided,Undecided,Disagree,Undecided,Always,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,Little amount,Pay enough,Pay enough,Pay enough,Pay enough,All items,Design,,,,,,,6,7,7,6
6,3,10,5,6,Male,40,2,Secondary school,15000€-30000€,Lombardia,Important,Important,Important,Very important,Very important,Very important,Very important,Important,Very important,Moderately,Moderately,Moderately,Yes,Yes,No,Yes,,,,Rarely,Rarely,Often,Moderately,Slightly,Moderately,Slightly,Very important,Moderately,Important,Important,Moderately,Important,Important,Not at all,,,,,,,,,Agree,Agree,Undecided,Agree,Agree,Always,Always,Sometimes,Sometimes,Often,Often,Rarely,Sometimes,Rarely,Often,Sometimes,Often,Often,Sometimes,Pay enough,Pay enough,Little amount,Pay enough,Pay enough,All items,All items,,,,,,,7,8,9,9
3,1,5,5,5,Male,34,3,PhD,30000€-45000€,Toscana,Moderately,Moderately,Moderately,Important,Important,Important,Important,Important,Important,Important,Moderately,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Slightly,Moderately,Moderately,Moderately,Very important,Moderately,Slightly,Moderately,Slightly,Moderately,Slightly,Slightly,,,,,,,,,Undecided,Disagree,Undecided,Undecided,Agree,Always,Sometimes,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,Sometimes,Sometimes,Rarely,Pay enough,Little amount,Little amount,Little amount,Little amount,All items,All items,,,,,,,6,6,7,8
5,2,7,4,7,Male,22,4,Secondary school,Preferisco non rispondere,Toscana,Not at all,Important,Important,Very important,Very important,Moderately,Moderately,Very important,Very important,Not at all,Not at all,Important,Yes,Yes,Yes,Yes,Rarely,Never,Rarely,Rarely,Never,Rarely,,,,,,,,Slightly,Slightly,Slightly,Important,Not at all,,,,,,,,,Agree,Undecided,Agree,Strongly agree,Agree,Often,Rarely,Sometimes,Sometimes,Often,Sometimes,Rarely,Sometimes,Rarely,Rarely,Never,Often,Rarely,Sometimes,Little amount,Little amount,Little amount,Pay enough,Pay enough,Environment,All items,Moderately,Important,Moderately,Slightly,Moderately,Not at all,8,8,9,10
5,3,12,4,4,Male,21,4,Secondary school,15000€-30000€,Umbria,Not at all,Slightly,Moderately,Very important,Important,Slightly,Important,Very important,Important,Not at all,Not at all,Slightly,Yes,Yes,Yes,Yes,Often,Never,Rarely,Often,Rarely,Sometimes,,,,,,,,Very important,Slightly,Slightly,Not at all,Slightly,,,,,,,,,Disagree,Undecided,Disagree,Undecided,Disagree,Sometimes,Rarely,Always,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Never,Never,Sometimes,Rarely,Often,Pay enough,Pay enough,Pay enough,Pay enough,Little amount,Environment,Delivery,Very important,Slightly,Moderately,Important,Slightly,Moderately,3,6,5,4
7,3,8,8,8,Female,40,2,Secondary school,Preferisco non rispondere,Lombardia,Slightly,Important,Important,Important,Very important,Important,Moderately,Important,Important,Slightly,Not at all,Moderately,Yes,Yes,Yes,Yes,Never,Never,Never,Sometimes,Never,Sometimes,,,,,,,,Important,Moderately,Important,Moderately,Slightly,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Always,Sometimes,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Rarely,Sometimes,Often,Sometimes,Sometimes,Sometimes,Little amount,Little amount,Little amount,Little amount,Little amount,All items,All items,Important,Moderately,Important,Moderately,Important,Slightly,6,7,7,8
15,5,15,15,15,Male,49,3,Postsecondary education,30000€-45000€,Trentino Alto Adige,Slightly,Important,Important,Important,Very important,Important,Important,Important,Important,Moderately,Moderately,Important,Yes,Yes,No,Yes,,,,Sometimes,Often,Sometimes,Moderately,Important,Moderately,Important,Important,Important,Important,Important,Important,Moderately,Important,Important,,,,,,,,,Agree,Undecided,Agree,Agree,Agree,Sometimes,Often,Often,Sometimes,Often,Sometimes,Sometimes,Often,Rarely,Often,Often,Sometimes,Always,Often,Little amount,Pay enough,Pay enough,Pay enough,Pay enough,Environment,All items,,,,,,,8,7,2,6
15,5,20,20,23,Female,41,1,Secondary school,0-15000€,Lazio,Moderately,Important,Very important,Important,Important,Important,Very important,Important,Very important,Not at all,Not at all,Important,Yes,Yes,Yes,Yes,Often,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,,,,,,,,Important,Not at all,Very important,Important,Not at all,,,,,,,,,Strongly agree,Undecided,Strongly agree,Strongly agree,Undecided,Often,Always,Rarely,Often,Sometimes,Often,Never,Always,Often,Always,Often,Sometimes,Often,Sometimes,Pay enough,Large amount,Pay enough,Pay enough,Large amount,Environment,Production,Moderately,Moderately,Very important,Slightly,Moderately,Slightly,7,6,6,7
25,10,20,15,25,Male,27,3,Secondary school,0-15000€,Campania,Slightly,Important,Important,Important,Important,Important,Moderately,Moderately,Important,Slightly,Slightly,Moderately,Yes,No,No,Yes,,,,Sometimes,Sometimes,Sometimes,Moderately,Slightly,Moderately,Slightly,Important,Important,Moderately,Moderately,Slightly,Moderately,Moderately,Slightly,,,,,,,,,Undecided,Disagree,Undecided,Undecided,Agree,Always,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Rarely,Often,Sometimes,Often,Sometimes,Sometimes,Pay enough,Pay enough,Little amount,Pay enough,Pay enough,Environment,Delivery,,,,,,,6,5,5,5
5,3,5,3,5,Female,21,4,Secondary school,15000€-30000€,Campania,Moderately,Important,Important,Very important,Important,Important,Important,Important,Very important,Slightly,Slightly,Important,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Important,Slightly,Important,Important,Slightly,,,,,,,,,Agree,Disagree,Agree,Agree,Agree,Often,Sometimes,Sometimes,Often,Rarely,Often,Rarely,Often,Sometimes,Sometimes,Often,Often,Sometimes,Sometimes,Pay enough,Little amount,Little amount,Little amount,Pay enough,All items,Production,Important,Moderately,Important,Important,Important,Slightly,8,9,7,9
5,2,5,3,5,Male,35,4,Secondary school,0-15000€,Marche,Not at all,Important,Important,Very important,Very important,Important,Important,Very important,Very important,Not at all,Not at all,Moderately,Yes,No,Yes,No,Rarely,Never,Never,,,,,,,,,,,,,,,,Very important,Very important,Very important,Moderately,Very important,Not at all,Not at all,Very important,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Sometimes,Rarely,Rarely,Never,Rarely,Never,Sometimes,Rarely,Rarely,Never,Often,Never,Never,Little amount,Little amount,Little amount,Little amount,Little amount,All items,All items,Very important,Slightly,Very important,Moderately,Slightly,Not at all,9,9,9,9
4,2,5,5,5,Male,30,4,Secondary school,15000€-30000€,Lombardia,Moderately,Important,Moderately,Important,Important,Important,Important,Important,Very important,Moderately,Moderately,Moderately,Yes,No,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Important,Moderately,Important,Slightly,Slightly,,,,,,,,,Undecided,Undecided,Undecided,Agree,Agree,Often,Sometimes,Often,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Rarely,Nothing,Little amount,Little amount,Little amount,Little amount,Environment,All items,Moderately,Moderately,Important,Slightly,Slightly,Slightly,6,7,5,7
10,5,15,10,10,Female,24,6,Secondary school,Preferisco non rispondere,Veneto,Moderately,Important,Important,Very important,Very important,Important,Very important,Moderately,Important,Important,Important,Important,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Moderately,Moderately,Slightly,Slightly,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Often,Often,Sometimes,Often,Sometimes,Often,Never,Rarely,Rarely,Always,Always,Often,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,All items,All items,Slightly,Important,Important,Not at all,Slightly,Slightly,5,5,6,6
12,8,13,13,14,Male,64,3,Secondary school,15000€-30000€,Lombardia,Not at all,Moderately,Moderately,Important,Important,Important,Important,Important,Important,Moderately,Slightly,Important,No,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Moderately,Moderately,Moderately,Moderately,Important,Important,Important,Moderately,Moderately,Moderately,Important,Moderately,,,,,,,,,Undecided,Undecided,Agree,Agree,Undecided,Always,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Never,Often,Sometimes,Sometimes,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,All items,,,,,,,5,5,6,5
20,10,25,26,20,Male,20,5,Postsecondary education,15000€-30000€,Veneto,Slightly,Important,Important,Slightly,Important,Slightly,Important,Moderately,Important,Moderately,Important,Important,Yes,Yes,Yes,Yes,Often,Often,Rarely,Often,Sometimes,Always,,,,,,,,Very important,Not at all,Important,Moderately,Moderately,,,,,,,,,Agree,Disagree,Agree,Undecided,Agree,Often,Never,Often,Rarely,Often,Always,Often,Rarely,Often,Rarely,Often,Often,Never,Sometimes,Large amount,Little amount,Pay enough,Little amount,Pay enough,Economy,All items,Moderately,Important,Slightly,Important,Moderately,Moderately,9,7,8,6
13,5,16,16,16,Male,31,3,Postsecondary education,più di 100000€,Marche,Moderately,Important,Important,Very important,Important,Slightly,Important,Slightly,Moderately,Moderately,Moderately,Slightly,Yes,No,No,Yes,,,,Rarely,Rarely,Rarely,Slightly,Not at all,Slightly,Not at all,Very important,Moderately,Moderately,Not at all,Moderately,Moderately,Moderately,Not at all,,,,,,,,,Undecided,Strongly disagree,Undecided,Agree,Agree,Often,Rarely,Rarely,Rarely,Never,Sometimes,Rarely,Sometimes,Never,Rarely,Rarely,Often,Rarely,Rarely,Little amount,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,,,,,,,7,8,8,9
10,5,12,9,15,Female,40,4,Postsecondary education,75000€-100000€,Sicilia,Very important,Important,Very important,Very important,Important,Moderately,Very important,Slightly,Moderately,Important,Very important,Important,Yes,Yes,Yes,Yes,Always,Often,Sometimes,Sometimes,Often,Always,,,,,,,,Slightly,Very important,Important,Moderately,Important,,,,,,,,,Undecided,Agree,Strongly agree,Agree,Undecided,Sometimes,Often,Always,Always,Often,Sometimes,Often,Sometimes,Always,Always,Often,Sometimes,Often,Always,Pay enough,Large amount,Pay enough,Large amount,Pay enough,Environment,Design,Moderately,Important,Very important,Very important,Important,Moderately,3,6,7,8
10,5,10,10,10,Male,35,2,Secondary school,30000€-45000€,Emilia Romagna,Slightly,Moderately,Important,Important,Important,Slightly,Important,Important,Important,Important,Slightly,Not at all,Yes,Yes,No,Yes,,,,Sometimes,Never,Sometimes,Slightly,Important,Important,Not at all,Not at all,Important,Slightly,Moderately,Slightly,Moderately,Slightly,Not at all,,,,,,,,,Agree,Disagree,Undecided,Agree,Agree,Always,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Often,Sometimes,Rarely,Little amount,Little amount,Little amount,Little amount,Little amount,Environment,Production,,,,,,,10,9,9,10
6,6,6,6,6,Male,23,2,Postsecondary education,0-15000€,Piemonte,Moderately,Slightly,Slightly,Slightly,Slightly,Moderately,Moderately,Moderately,Moderately,Important,Moderately,Moderately,No,Yes,Yes,Yes,Sometimes,Rarely,Rarely,Sometimes,Sometimes,Often,,,,,,,,Moderately,Moderately,Important,Moderately,Moderately,,,,,,,,,Undecided,Undecided,Agree,Undecided,Undecided,Sometimes,Sometimes,Often,Sometimes,Often,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Often,Often,Often,Little amount,Nothing,Pay enough,Pay enough,Little amount,Economy,Production,Moderately,Slightly,Slightly,Slightly,Not at all,Important,4,4,5,5
5,3,6,4,5,Male,39,3,Postsecondary education,15000€-30000€,Piemonte,Moderately,Slightly,Moderately,Moderately,Moderately,Moderately,Moderately,Important,Moderately,Moderately,Slightly,Moderately,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Moderately,Moderately,Important,Moderately,Important,,,,,,,,,Undecided,Undecided,Undecided,Undecided,Undecided,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Often,Sometimes,Sometimes,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,Environment,Production,Moderately,Moderately,Moderately,Moderately,Slightly,Moderately,6,6,5,5
5,3,6,4,6,Female,45,4,Secondary school,15000€-30000€,Sardegna,Slightly,Important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Slightly,Slightly,Important,No,Yes,No,Yes,,,,Rarely,Never,Rarely,Important,Slightly,Very important,Moderately,Very important,Very important,Very important,Important,Not at all,Important,Important,Not at all,,,,,,,,,Undecided,Agree,Agree,Agree,Agree,Always,Sometimes,Rarely,Sometimes,Never,Sometimes,Never,Always,Never,Rarely,Sometimes,Often,Rarely,Rarely,Little amount,Little amount,Little amount,Little amount,Little amount,Environment,Production,,,,,,,8,9,7,9
5,2,5,5,5,Female,37,4,Postsecondary education,30000€-45000€,Lombardia,Moderately,Moderately,Very important,Very important,Important,Moderately,Moderately,Moderately,Moderately,Moderately,Slightly,Moderately,Yes,Yes,Yes,Yes,Never,Never,Rarely,Sometimes,Never,Sometimes,,,,,,,,Moderately,Slightly,Moderately,Moderately,Not at all,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Always,Sometimes,Sometimes,Often,Sometimes,Often,Never,Sometimes,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Pay enough,Pay enough,Pay enough,Pay enough,Pay enough,All items,All items,Moderately,Slightly,Moderately,Moderately,Moderately,Slightly,6,7,7,7
15,0,15,0,15,Male,52,2,Middle school,Preferisco non rispondere,Lombardia,Moderately,Important,Important,Very important,Very important,Moderately,Very important,Important,Very important,Not at all,Not at all,Slightly,No,Yes,No,Yes,,,,Rarely,Rarely,Rarely,Not at all,Very important,Moderately,Slightly,Very important,Very important,Slightly,Very important,Not at all,Very important,Moderately,Not at all,,,,,,,,,Disagree,Agree,Undecided,Disagree,Undecided,Always,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Never,Never,Never,Often,Sometimes,Never,Nothing,Nothing,Nothing,Nothing,Nothing,Environment,Production,,,,,,,3,6,6,6
12,9,15,8,16,Female,24,5,Postsecondary education,75000€-100000€,Non risiedo in Italia,Moderately,Slightly,Not at all,Moderately,Important,Very important,Important,Moderately,Important,Very important,Moderately,Important,No,Yes,No,Yes,,,,Always,Often,Sometimes,Important,Moderately,Important,Moderately,Very important,Important,Very important,Moderately,Important,Very important,Important,Moderately,,,,,,,,,Agree,Undecided,Strongly agree,Disagree,Agree,Sometimes,Often,Always,Rarely,Often,Always,Often,Always,Sometimes,Often,Always,Rarely,Sometimes,Often,Pay enough,Large amount,Pay enough,Little amount,Large amount,Society,After-sale,,,,,,,7,9,5,8
15,20,20,20,20,Male,23,4,Postsecondary education,30000€-45000€,Piemonte,Slightly,Important,Important,Moderately,Important,Important,Important,Very important,Very important,Slightly,Slightly,Important,Yes,Yes,Yes,Yes,Rarely,Rarely,Sometimes,Rarely,Rarely,Rarely,,,,,,,,Slightly,Slightly,Moderately,Moderately,Not at all,,,,,,,,,Agree,Undecided,Undecided,Agree,Agree,Often,Sometimes,Sometimes,Often,Often,Often,Sometimes,Often,Sometimes,Sometimes,Rarely,Often,Sometimes,Sometimes,Pay enough,Little amount,Pay enough,Pay enough,Large amount,All items,All items,Slightly,Slightly,Moderately,Important,Important,Slightly,8,7,8,8
15,10,25,15,15,Male,22,5,Postsecondary education,45000€-60000€,Campania,Important,Important,Moderately,Important,Moderately,Moderately,Moderately,Moderately,Important,Moderately,Moderately,Important,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Important,Moderately,Moderately,Slightly,Very important,Important,Important,Moderately,Moderately,Moderately,Slightly,Slightly,,,,,,,,,Agree,Agree,Undecided,Agree,Agree,Often,Often,Sometimes,Often,Sometimes,Often,Often,Often,Never,Rarely,Sometimes,Sometimes,Often,Sometimes,Large amount,Pay enough,Pay enough,Large amount,Pay enough,Environment,Production,,,,,,,6,8,7,7
30,10,15,15,20,Male,24,4,Secondary school,30000€-45000€,Lombardia,Moderately,Slightly,Moderately,Moderately,Important,Important,Moderately,Moderately,Important,Moderately,Slightly,Moderately,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,,,,,,,Slightly,Moderately,Moderately,Important,Moderately,,,,,,,,,Disagree,Undecided,Disagree,Undecided,Undecided,Always,Sometimes,Often,Often,Rarely,Sometimes,Rarely,Sometimes,Rarely,Sometimes,Sometimes,Rarely,Often,Sometimes,Little amount,Pay enough,Pay enough,Little amount,Little amount,All items,All items,Slightly,Moderately,Moderately,Moderately,Important,Moderately,3,5,6,5
12,12,30,20,20,Female,30,8,Middle school,0-15000€,Piemonte,Important,Important,Important,Very important,Very important,Important,Important,Moderately,Important,Very important,Important,Moderately,Yes,Yes,Yes,Yes,Often,Always,Often,Often,Always,Often,,,,,,,,Important,Important,Important,Important,Important,,,,,,,,,Strongly agree,Agree,Agree,Agree,Strongly agree,Always,Often,Always,Often,Sometimes,Always,Always,Always,Often,Always,Often,Often,Often,Often,Large amount,Pay enough,Large amount,Large amount,Pay enough,Environment,Production,Important,Important,Important,Important,Important,Important,10,9,9,9
8,5,8,7,9,Female,23,2,Secondary school,0-15000€,Calabria,Moderately,Moderately,Moderately,Important,Important,Moderately,Important,Moderately,Important,Important,Important,Moderately,Yes,Yes,No,Yes,,,,Sometimes,Sometimes,Sometimes,Slightly,Slightly,Moderately,Slightly,Moderately,Important,Important,Important,Important,Important,Moderately,Slightly,,,,,,,,,Agree,Agree,Agree,Strongly agree,Agree,Often,Often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Often,Never,Often,Often,Often,Often,Sometimes,Little amount,Little amount,Little amount,Little amount,Little amount,All items,Production,,,,,,,7,6,7,8
8,5,10,10,10,Female,24,2,Postsecondary education,30000€-45000€,Emilia Romagna,Slightly,Important,Important,Important,Very important,Important,Important,Slightly,Very important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Often,Sometimes,Sometimes,Often,Sometimes,Often,,,,,,,,Important,Moderately,Important,Very important,Important,,,,,,,,,Agree,Strongly agree,Agree,Undecided,Agree,Often,Sometimes,Often,Always,Always,Often,Sometimes,Often,Always,Sometimes,Often,Often,Sometimes,Often,Pay enough,Large amount,Pay enough,Pay enough,Large amount,Environment,All items,Important,Moderately,Important,Moderately,Important,Important,8,7,8,7
10,5,15,12,20,Male,40,4,Postsecondary education,30000€-45000€,Lombardia,Slightly,Important,Important,Important,Important,Moderately,Moderately,Moderately,Very important,Moderately,Slightly,Slightly,Yes,Yes,Yes,Yes,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,,,,,,,Important,Moderately,Important,Moderately,Moderately,,,,,,,,,Agree,Undecided,Agree,Agree,Agree,Always,Rarely,Rarely,Rarely,Often,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Pay enough,Little amount,Little amount,Little amount,Pay enough,All items,Production,Important,Moderately,Moderately,Important,Moderately,Moderately,7,7,6,8
10,5,15,18,11,Female,43,5,Secondary school,0-15000€,Lazio,Moderately,Very important,Important,Important,Very important,Moderately,Important,Important,Important,Slightly,Slightly,Moderately,Yes,Yes,Yes,Yes,Rarely,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,,,,,,,Very important,Important,Important,Important,Slightly,,,,,,,,,Agree,Undecided,Agree,Agree,Undecided,Often,Often,Often,Often,Rarely,Always,Often,Always,Sometimes,Often,Sometimes,Always,Often,Often,Pay enough,Pay enough,Pay enough,Little amount,Little amount,All items,All items,Very important,Moderately,Important,Moderately,Moderately,Slightly,7,6,5,5
10,6,10,9,10,Male,21,4,Secondary school,30000€-45000€,Toscana,Slightly,Moderately,Moderately,Moderately,Important,Moderately,Moderately,Moderately,Important,Moderately,Moderately,Important,Yes,Yes,Yes,Yes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely,,,,,,,,Moderately,Moderately,Important,Moderately,Slightly,,,,,,,,,Disagree,Undecided,Undecided,Agree,Undecided,Rarely,Sometimes,Sometimes,Sometimes,Often,Rarely,Rarely,Rarely,Sometimes,Sometimes,Sometimes,Rarely,Sometimes,Sometimes,Pay enough,Little amount,Pay enough,Pay enough,Pay enough,Economy,Delivery,Slightly,Moderately,Moderately,Important,Moderately,Slightly,4,5,6,5
